date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:35	181462/181462	---M--	200	added ('OK')	image/jpeg	etag:%222c4d6-5d605c0d63e80%22	https://doccure.dreamguystech.com/html/template/admin/assets/img/blog/blog-06.jpg	doccure.dreamguystech.com/html/template/admin/assets/img/blog/blog-06.jpg	(from https://doccure.dreamguystech.com/html/template/admin/active-blog.html)
09:29:35	259307/259307	---M--	200	added ('OK')	image/jpeg	etag:%223f4eb-5d605c0d63e80%22	https://doccure.dreamguystech.com/html/template/admin/assets/img/blog/blog-07.jpg	doccure.dreamguystech.com/html/template/admin/assets/img/blog/blog-07.jpg	(from https://doccure.dreamguystech.com/html/template/admin/active-blog.html)
09:29:36	167495/167495	---M--	200	added ('OK')	image/jpeg	etag:%2228e47-5d605c0d63e80%22	https://doccure.dreamguystech.com/html/template/admin/assets/img/blog/blog-08.jpg	doccure.dreamguystech.com/html/template/admin/assets/img/blog/blog-08.jpg	(from https://doccure.dreamguystech.com/html/template/admin/active-blog.html)
09:29:37	158678/158678	---M--	200	added ('OK')	image/jpeg	etag:%2226bd6-5d605c0d63e80%22	https://doccure.dreamguystech.com/html/template/admin/assets/img/blog/blog-09.jpg	doccure.dreamguystech.com/html/template/admin/assets/img/blog/blog-09.jpg	(from https://doccure.dreamguystech.com/html/template/admin/active-blog.html)
09:29:37	382/382	---M--	200	added ('OK')	image/png	etag:%2217e-5d605c0d63e80%22	https://doccure.dreamguystech.com/html/template/admin/assets/img/icon/reply-icon.png	doccure.dreamguystech.com/html/template/admin/assets/img/icon/reply-icon.png	(from https://doccure.dreamguystech.com/html/template/admin/blog-details.html)
09:29:37	28057/28057	---M--	200	added ('OK')	image/png	etag:%226d99-5d605c0d63e80%22	https://doccure.dreamguystech.com/html/template/admin/assets/img/404.png	doccure.dreamguystech.com/html/template/admin/assets/img/404.png	(from https://doccure.dreamguystech.com/html/template/admin/error-404.html)
09:29:39	37871/37871	---M--	200	added ('OK')	image/png	etag:%2293ef-5d6e088eff980%22	https://doccure.dreamguystech.com/html/template/admin/assets/img/505.png	doccure.dreamguystech.com/html/template/admin/assets/img/505.png	(from https://doccure.dreamguystech.com/html/template/admin/error-500.html)
09:29:40	95134/95134	---M--	200	added ('OK')	image/jpeg	etag:%221739e-5d605c0d63e80%22	https://doccure.dreamguystech.com/html/template/admin/assets/img/img-01.jpg	doccure.dreamguystech.com/html/template/admin/assets/img/img-01.jpg	(from https://doccure.dreamguystech.com/html/template/admin/components.html)
09:29:40	4330/4330	---M-Z	200	added ('OK')	application/javascript	etag:%2210ea-5cc6aeec46000-gzip%22	https://doccure.dreamguystech.com/html/template/admin/assets/js/jquery.maskedinput.min.js	doccure.dreamguystech.com/html/template/admin/assets/js/jquery.maskedinput.min.js	(from https://doccure.dreamguystech.com/html/template/admin/form-mask.html)
09:29:41	902/902	---M-Z	200	added ('OK')	application/javascript	etag:%22386-5cc6aeec46000-gzip%22	https://doccure.dreamguystech.com/html/template/admin/assets/js/mask.js	doccure.dreamguystech.com/html/template/admin/assets/js/mask.js	(from https://doccure.dreamguystech.com/html/template/admin/form-mask.html)
09:29:42	723/723	---M-Z	200	added ('OK')	application/javascript	etag:%222d3-5cc6aeec46000-gzip%22	https://doccure.dreamguystech.com/html/template/admin/assets/js/form-validation.js	doccure.dreamguystech.com/html/template/admin/assets/js/form-validation.js	(from https://doccure.dreamguystech.com/html/template/admin/form-validation.html)
09:29:43	842/842	---M--	200	added ('OK')	image/png	etag:%2234a-5e3db178cce00%22	https://doccure.dreamguystech.com/html/template/assets/img/icons/up-cam.png	doccure.dreamguystech.com/html/template/assets/img/icons/up-cam.png	(from https://doccure.dreamguystech.com/html/template/patient-Personalize.html)
09:29:45	4986/4986	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2017:10:16%20GMT	https://doccure.dreamguystech.com/html/template/patient-phone.html	doccure.dreamguystech.com/html/template/patient-phone.html	(from https://doccure.dreamguystech.com/html/template/patient-email-otp.html)
09:29:46	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221ff5a-5cc6aeec46000%22	https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.eot	doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.eot	(from https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/css/all.min.css)
09:29:47	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221ff5a-5cc6aeec46000%22	https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.eot?	doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/css/all.min.css)
09:29:47	75336/75336	---M--	200	added ('OK')	text/html	etag:%2212648-5cc6aeec46000%22	https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.woff2	doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.html	(from https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/css/all.min.css)
09:29:49	88428/88428	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221596c-5cc6aeec46000%22	https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.woff	doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.woff	(from https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/css/all.min.css)
09:29:50	130600/130600	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221fe28-5cc6aeec46000%22	https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	(from https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/css/all.min.css)
09:29:52	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22865a-5cc6aeec46000%22	https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-regular-400.eot	doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-regular-400.eot	(from https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/css/all.min.css)
09:29:52	703999/703999	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22abdff-5cc6aeec46000%22	https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.svg	doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-brands-400.svg	(from https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/css/all.min.css)
09:29:56	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22865a-5cc6aeec46000%22	https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-regular-400.eot?	doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://doccure.dreamguystech.com/html/template/pharmacy/assets/plugins/fontawesome/css/all.min.css)
